rank,region,unit_name,unit_type,total_score,final_grade
1,Gyeonggi,화성시,city,88.6956,2
2,Gyeonggi,성남시,city,82.0148,2
3,Seoul,강남구,autonomous_district,80.0064,3
4,Gyeonggi,수원시,city,75.5511,3
5,Gyeonggi,용인시,city,73.8164,4
6,Gyeonggi,안산시,city,73.5962,4
7,Seoul,영등포구,autonomous_district,73.4009,4
8,Gyeonggi,평택시,city,73.3282,4
9,Gyeonggi,시흥시,city,69.249,4
10,Gyeonggi,안양시,city,69.0893,4
11,Seoul,송파구,autonomous_district,69.0888,4
12,Seoul,서초구,autonomous_district,68.8408,4
13,Seoul,마포구,autonomous_district,62.6677,5
14,Gyeonggi,고양시,city,62.3012,5
15,Incheon,서구,autonomous_district,61.5672,5
16,Gyeonggi,파주시,city,61.3065,5
17,Gyeonggi,부천시,city,59.928,5
18,Gyeonggi,하남시,city,59.8666,5
19,Seoul,성동구,autonomous_district,59.7426,5
20,Seoul,용산구,autonomous_district,59.4649,5
21,Gyeonggi,남양주시,city,58.3272,5
22,Gyeonggi,김포시,city,58.2235,5
23,Gyeonggi,이천시,city,57.5379,6
24,Gyeonggi,광명시,city,57.0036,6
25,Seoul,강서구,autonomous_district,55.5299,6
26,Seoul,중구,autonomous_district,55.062,6
27,Gyeonggi,광주시,city,53.9823,6
28,Seoul,동작구,autonomous_district,53.9246,6
29,Seoul,강동구,autonomous_district,53.8106,6
30,Gyeonggi,과천시,city,53.6741,6
31,Seoul,광진구,autonomous_district,52.5311,6
32,Gyeonggi,오산시,city,52.2598,6
33,Seoul,구로구,autonomous_district,51.0185,6
34,Seoul,동대문구,autonomous_district,50.0701,6
35,Seoul,종로구,autonomous_district,49.6675,7
36,Incheon,중구,autonomous_district,49.6181,7
37,Gyeonggi,의왕시,city,48.7026,7
38,Seoul,양천구,autonomous_district,47.1656,7
39,Seoul,서대문구,autonomous_district,46.4187,7
40,Gyeonggi,안성시,city,45.8639,7
41,Seoul,관악구,autonomous_district,44.1461,7
42,Seoul,성북구,autonomous_district,43.9274,7
43,Gyeonggi,군포시,city,43.8606,7
44,Incheon,연수구,autonomous_district,43.6112,7
45,Seoul,은평구,autonomous_district,42.5921,7
46,Incheon,남동구,autonomous_district,42.379,7
47,Seoul,금천구,autonomous_district,42.3561,7
48,Gyeonggi,양주시,city,42.2103,7
49,Gyeonggi,포천시,city,41.959,8
50,Gyeonggi,의정부시,city,41.4355,8
51,Gyeonggi,여주시,city,41.1193,8
52,Seoul,노원구,autonomous_district,41.0381,8
53,Gyeonggi,구리시,city,41.0114,8
54,Incheon,부평구,autonomous_district,40.1775,8
55,Incheon,미추홀구,autonomous_district,34.5561,8
56,Seoul,중랑구,autonomous_district,33.7168,9
57,Gyeonggi,가평군,county,32.1997,9
58,Seoul,도봉구,autonomous_district,30.5519,9
59,Incheon,강화군,county,29.7383,9
60,Gyeonggi,양평군,county,29.1705,9
61,Incheon,계양구,autonomous_district,28.9652,9
62,Gyeonggi,연천군,county,27.3423,9
63,Incheon,옹진군,county,27.2834,9
64,Seoul,강북구,autonomous_district,26.7708,9
65,Incheon,동구,autonomous_district,24.9188,9
66,Gyeonggi,동두천시,city,19.5276,9
