rank,region,unit_name,unit_type,peer_group,total_score,final_grade
1,Gyeonggi,화성시,city,gyeonggi_cities,84.8285,2
2,Seoul,강남구,autonomous_district,capital_districts,79.1343,3
3,Gyeonggi,성남시,city,gyeonggi_cities,75.6927,3
4,Seoul,영등포구,autonomous_district,capital_districts,73.9933,4
5,Seoul,송파구,autonomous_district,capital_districts,73.0293,4
6,Gyeonggi,수원시,city,gyeonggi_cities,72.4455,4
7,Gyeonggi,평택시,city,gyeonggi_cities,72.4352,4
8,Seoul,서초구,autonomous_district,capital_districts,67.6019,4
9,Gyeonggi,안산시,city,gyeonggi_cities,67.3912,4
10,Incheon,서구,autonomous_district,capital_districts,65.4395,5
11,Gyeonggi,용인시,city,gyeonggi_cities,64.8059,5
12,Gyeonggi,시흥시,city,gyeonggi_cities,64.484,5
13,Seoul,마포구,autonomous_district,capital_districts,64.2065,5
14,Gyeonggi,안양시,city,gyeonggi_cities,63.0784,5
15,Gyeonggi,하남시,city,gyeonggi_cities,61.5878,5
16,Seoul,강서구,autonomous_district,capital_districts,60.3721,5
17,Gyeonggi,이천시,city,gyeonggi_cities,57.7277,6
18,Seoul,용산구,autonomous_district,capital_districts,57.6379,6
19,Gyeonggi,가평군,county,capital_counties,57.25,6
20,Seoul,성동구,autonomous_district,capital_districts,56.7163,6
21,Gyeonggi,양평군,county,capital_counties,56.25,6
22,Seoul,동작구,autonomous_district,capital_districts,55.6399,6
23,Gyeonggi,과천시,city,gyeonggi_cities,55.5407,6
24,Incheon,중구,autonomous_district,capital_districts,55.1092,6
25,Seoul,강동구,autonomous_district,capital_districts,55.1073,6
26,Seoul,구로구,autonomous_district,capital_districts,54.8406,6
27,Gyeonggi,광명시,city,gyeonggi_cities,53.9363,6
28,Seoul,광진구,autonomous_district,capital_districts,53.4499,6
29,Gyeonggi,오산시,city,gyeonggi_cities,51.6208,6
30,Gyeonggi,고양시,city,gyeonggi_cities,51.5532,6
31,Incheon,강화군,county,capital_counties,51.5,6
32,Gyeonggi,파주시,city,gyeonggi_cities,51.2205,6
33,Gyeonggi,김포시,city,gyeonggi_cities,51.1438,6
34,Gyeonggi,부천시,city,gyeonggi_cities,50.0351,6
35,Seoul,동대문구,autonomous_district,capital_districts,49.8771,7
36,Seoul,중구,autonomous_district,capital_districts,49.8535,7
37,Incheon,연수구,autonomous_district,capital_districts,49.126,7
38,Gyeonggi,의왕시,city,gyeonggi_cities,49.1037,7
39,Gyeonggi,연천군,county,capital_counties,49.0,7
40,Seoul,양천구,autonomous_district,capital_districts,48.6657,7
41,Gyeonggi,광주시,city,gyeonggi_cities,47.4256,7
42,Seoul,서대문구,autonomous_district,capital_districts,45.9934,7
43,Seoul,성북구,autonomous_district,capital_districts,45.5258,7
44,Gyeonggi,남양주시,city,gyeonggi_cities,44.7899,7
45,Seoul,종로구,autonomous_district,capital_districts,44.7596,7
46,Incheon,남동구,autonomous_district,capital_districts,44.6406,7
47,Seoul,금천구,autonomous_district,capital_districts,44.312,7
48,Seoul,관악구,autonomous_district,capital_districts,44.0447,7
49,Seoul,노원구,autonomous_district,capital_districts,42.119,7
50,Gyeonggi,여주시,city,gyeonggi_cities,41.4072,8
51,Incheon,부평구,autonomous_district,capital_districts,41.1901,8
52,Gyeonggi,포천시,city,gyeonggi_cities,41.0073,8
53,Gyeonggi,안성시,city,gyeonggi_cities,40.3615,8
54,Gyeonggi,군포시,city,gyeonggi_cities,40.0945,8
55,Seoul,은평구,autonomous_district,capital_districts,39.4663,8
56,Gyeonggi,구리시,city,gyeonggi_cities,38.5481,8
57,Incheon,미추홀구,autonomous_district,capital_districts,36.8079,8
58,Incheon,옹진군,county,capital_counties,36.0,8
59,Gyeonggi,양주시,city,gyeonggi_cities,35.557,8
60,Gyeonggi,의정부시,city,gyeonggi_cities,31.9231,9
61,Incheon,동구,autonomous_district,capital_districts,31.9032,9
62,Incheon,계양구,autonomous_district,capital_districts,30.9579,9
63,Seoul,중랑구,autonomous_district,capital_districts,30.4788,9
64,Seoul,도봉구,autonomous_district,capital_districts,26.7683,9
65,Gyeonggi,동두천시,city,gyeonggi_cities,23.4049,9
66,Seoul,강북구,autonomous_district,capital_districts,22.8042,9
